website,battery,weight,laptop_brand,monitor_size,ram_capacity,ram_type,HDD_capacity,SSD_capacity,cpu_brand,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,price
thinkpro,54.0,1.55,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,,,63.6,64.0,72.0,59.0,112.0,21990000.0
thinkpro,49.0,1.3,Apple,13.3,8.0,,0.0,256.0,Intel,4.0,8.0,93.2,93.0,95.0,77.0,7.0,21990000.0
laptop88,6.0,1.0,Asus,14.5,16.0,LPDDR5,0.0,1024.0,AMD,14.0,20.0,98.1,98.0,100.0,104.0,58.5,53990000.0
thinkpro,54.0,,Dell,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,22490000.0
thinkpro,51.0,2.34,Dell,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,76.2,29690000.0
thinkpro,45.0,1.7,Lenovo,15.6,8.0,,0.0,256.0,AMD,6.0,12.0,68.5,69.0,71.0,62.0,121.0,21990000.0
thinkpro,42.0,1.8,Asus,15.6,8.0,DDR4,0.0,512.0,AMD,8.0,8.0,75.2,75.0,76.0,67.0,121.0,17690000.0
thinkpro,70.0,1.68,Asus,14.5,16.0,LPDDR5,0.0,512.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,58.5,37990000.0
thinkpro,63.0,1.4,Asus,14.0,8.0,DDR4,0.0,512.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,121.0,18790000.0
thinkpro,86.0,2.51,Dell,17.0,16.0,DDR4,0.0,512.0,Intel,8.0,16.0,78.8,79.0,81.0,73.0,76.2,64990000.0
thinkpro,40.0,1.7,Acer,15.6,8.0,DDR4,0.0,512.0,Intel,6.0,8.0,68.5,68.0,78.0,59.0,112.0,13990000.0
laptop88,,,Lenovo,15.6,8.0,DDR4,0.0,512.0,Intel,,,,,,,10.3,13990000.0
laptop88,43.0,1.0,HP,15.6,8.0,DDR4,0.0,256.0,AMD,6.0,8.0,68.5,68.0,78.0,59.0,112.0,13690000.0
thinkpro,86.0,2.69,Dell,15.6,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,112.0,66490000.0
thinkpro,60.0,2.3,Lenovo,15.6,8.0,DDR4,0.0,512.0,AMD,8.0,16.0,0.0,0.0,0.0,0.0,121.0,27490000.0
thinkpro,80.0,2.01,Razer,15.6,32.0,DDR5,0.0,1024.0,Intel,14.0,20.0,100.0,100.0,103.0,106.0,139.0,129990000.0
thinkpro,67.0,1.3,HP,13.3,8.0,LPDDR4x,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,20790000.0
laptop88,45.0,1.0,Lenovo,15.6,8.0,DDR4,0.0,512.0,Intel,,,,,,,10.3,14490000.0
thinkpro,63.0,,Samsung,13.3,16.0,,0.0,256.0,Intel,,,72.4,72.0,78.0,70.0,139.0,39000000.0
thinkpro,61.0,1.4,Lenovo,14.0,16.0,,0.0,1024.0,AMD,8.0,16.0,78.2,78.0,81.0,76.0,121.0,22990000.0
thinkpro,75.0,1.39,Asus,14.0,16.0,LPDDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,28290000.0
thinkpro,55.0,1.26,Dell,13.4,8.0,LPDDR5,0.0,512.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,37990000.0
thinkpro,42.0,1.56,Huawei,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,88.6,13990000.0
thinkpro,42.0,1.8,Dell,15.6,8.0,,0.0,512.0,AMD,4.0,8.0,48.1,48.0,52.0,40.0,11.9,20290000.0
laptop88,80.0,2.0,Lenovo,15.6,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,58.5,33690000.0
laptop88,6.0,1.0,Asus,14.0,8.0,DDR4,0.0,512.0,Intel,,,,,,,58.5,28990000.0
thinkpro,80.0,2.49,Lenovo,16.0,16.0,DDR5,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,88.6,36990000.0
thinkpro,45.0,2.25,Lenovo,15.6,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,73.0,73.0,76.0,67.0,53.7,22490000.0
laptop88,,,MSI,17.3,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,90.7,91.0,92.0,91.0,121.0,46990000.0
thinkpro,76.0,1.6,Asus,14.0,16.0,DDR4,0.0,512.0,AMD,8.0,16.0,73.6,74.0,75.0,73.0,88.6,28990000.0
thinkpro,57.0,1.1,Lenovo,14.0,16.0,LPDDR3,0.0,256.0,Intel,4.0,8.0,17.6,18.0,20.0,12.0,9.64,22990000.0
thinkpro,43.0,1.61,HP,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,19190000.0
thinkpro,60.0,2.4,Lenovo,15.6,8.0,,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,35990000.0
thinkpro,72.0,0.999,LG,14.0,8.0,DDR5,0.0,256.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,29290000.0
thinkpro,50.0,1.55,Lenovo,14.0,16.0,DDR4,0.0,512.0,AMD,6.0,12.0,69.6,70.0,74.0,62.0,121.0,26990000.0
laptop88,42.0,1.0,Asus,14.0,8.0,DDR4,0.0,512.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,16990000.0
thinkpro,42.0,,Dell,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,15.0,15790000.0
laptop88,45.0,,Lenovo,14.0,8.0,DDR4,0.0,512.0,Intel,,,,,,,121.0,16490000.0
thinkpro,41.0,1.69,HP,15.6,8.0,DDR4,0.0,512.0,Intel,10.0,12.0,65.2,65.0,75.0,59.0,139.0,19890000.0
laptop88,90.0,2.0,Asus,15.6,8.0,DDR4,0.0,512.0,AMD,8.0,16.0,87.9,88.0,90.0,86.0,88.6,28690000.0
thinkpro,45.0,1.29,Microsoft,13.5,8.0,,0.0,128.0,Intel,4.0,8.0,57.7,58.0,63.0,47.0,11.0,14390000.0
thinkpro,52.0,1.6,MSI,15.6,8.0,DDR4,0.0,512.0,AMD,8.0,16.0,72.3,72.0,74.0,69.0,121.0,17490000.0
laptop88,,,HP,15.6,8.0,DDR4,0.0,256.0,Intel,6.0,12.0,0.0,0.0,0.0,0.0,8.98,15990000.0
thinkpro,99.0,2.2,GIGABYTE,15.6,16.0,,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,88.6,39990000.0
thinkpro,42.0,1.5,Asus,14.0,8.0,,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,17690000.0
thinkpro,42.0,1.4,Asus,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,18790000.0
thinkpro,42.0,,Dell,15.6,8.0,DDR4,0.0,256.0,AMD,4.0,8.0,48.8,49.0,52.0,42.0,8.98,11990000.0
laptop88,,,LG,16.0,16.0,LPDDR5,0.0,512.0,Intel,6.0,6.0,93.2,93.0,95.0,77.0,139.0,39390000.0
thinkpro,42.0,1.24,Dell,13.0,16.0,DDR4,0.0,256.0,Intel,4.0,8.0,59.6,60.0,66.0,47.0,9.64,19990000.0
laptop88,,,LG,16.0,16.0,,0.0,1024.0,Intel,12.0,20.0,114.0,114.0,114.0,126.0,139.0,48990000.0
thinkpro,58.0,1.743,Microsoft,14.4,16.0,,0.0,512.0,Intel,4.0,8.0,66.4,66.0,73.0,57.0,139.0,44990000.0
thinkpro,52.0,1.29,MSI,14.0,16.0,LPDDR4x,0.0,512.0,Intel,4.0,8.0,60.9,61.0,69.0,51.0,139.0,29990000.0
thinkpro,48.0,,Acer,14.0,16.0,,0.0,512.0,AMD,6.0,12.0,69.5,69.0,71.0,63.0,121.0,17890000.0
thinkpro,45.0,1.7,Lenovo,15.6,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,69.5,69.0,71.0,63.0,121.0,19300000.0
thinkpro,45.0,0.77,Microsoft,12.3,8.0,LPDDR3,0.0,128.0,Intel,4.0,8.0,53.1,53.0,58.0,41.0,9.64,9990000.0
laptop88,,,Lenovo,15.6,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,0.0,0.0,0.0,0.0,121.0,12490000.0
thinkpro,,1.45,Asus,14.0,16.0,DDR4,0.0,512.0,AMD,6.0,12.0,73.0,73.0,76.0,67.0,58.5,28990000.0
thinkpro,43.0,1.61,HP,14.0,4.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,5.0,14490000.0
laptop88,,,Asus,15.6,8.0,DDR4,0.0,512.0,AMD,12.0,16.0,94.8,95.0,97.0,94.0,139.0,18990000.0
laptop88,,2.0,GIGABYTE,15.6,16.0,DDR4,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,121.0,49990000.0
laptop88,41.0,,Dell,15.6,4.0,DDR4,0.0,128.0,Intel,4.0,4.0,0.0,0.0,0.0,0.0,112.0,8990000.0
thinkpro,39.3,1.4,MSI,14.0,8.0,DDR4,0.0,512.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,139.0,17990000.0
thinkpro,50.0,1.5,Asus,14.0,16.0,DDR4,0.0,512.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,121.0,21990000.0
thinkpro,57.5,2.2,Acer,15.6,8.0,,0.0,256.0,Intel,6.0,12.0,74.5,74.0,78.0,69.0,41.0,21490000.0
thinkpro,76.0,2.0,Asus,15.6,8.0,DDR5,0.0,512.0,Intel,8.0,12.0,82.4,82.0,87.0,77.0,58.5,28990000.0
thinkpro,85.0,2.11,Dell,15.6,8.0,DDR4,0.0,256.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,29990000.0
thinkpro,48.0,1.7,Acer,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,17590000.0
thinkpro,80.0,1.7,Lenovo,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,79.5,79.0,83.0,70.0,25.0,36990000.0
thinkpro,68.0,1.07,Samsung,15.6,8.0,LPDDR4x,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,24990000.0
thinkpro,86.0,1.92,Dell,15.6,16.0,,0.0,512.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,58.5,47990000.0
thinkpro,48.0,1.8,Xiaomi,15.0,8.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,15.0,12990000.0
thinkpro,80.0,2.14,Razer,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,79.5,79.0,83.0,70.0,112.0,69990000.0
thinkpro,56.0,1.23,Other,13.3,16.0,LPDDR5,0.0,1024.0,AMD,6.0,12.0,76.8,77.0,81.0,72.0,10.0,16080000.0
thinkpro,70.0,1.62,Asus,14.0,8.0,,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,32990000.0
thinkpro,54.0,1.75,Dell,15.6,8.0,DDR4,0.0,256.0,AMD,6.0,12.0,69.5,69.0,71.0,63.0,,13990000.0
thinkpro,67.0,1.1,Asus,13.3,8.0,,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,24790000.0
thinkpro,48.0,0.907,Lenovo,13.0,16.0,LPDDR4x,0.0,512.0,Intel,4.0,8.0,68.8,69.0,78.0,58.0,139.0,27490000.0
thinkpro,80.0,1.35,LG,17.0,16.0,DDR5,0.0,256.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,42990000.0
thinkpro,38.0,1.65,Lenovo,15.6,8.0,,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,11390000.0
thinkpro,63.0,1.4,Asus,14.0,8.0,,0.0,512.0,AMD,6.0,12.0,73.0,73.0,76.0,67.0,121.0,27990000.0
laptop88,99.99,2.0,MSI,15.6,32.0,DDR5,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,121.0,64990000.0
laptop88,,2.0,HP,17.3,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,0.0,0.0,0.0,0.0,139.0,12390000.0
thinkpro,42.0,1.5,Asus,14.0,4.0,DDR4,0.0,512.0,Intel,10.0,12.0,71.4,71.0,78.0,70.0,112.0,13490000.0
laptop88,,,Lenovo,14.0,16.0,LPDDR5,0.0,512.0,Intel,,,,,,,,28690000.0
laptop88,45.0,2.0,Lenovo,15.6,8.0,DDR4,0.0,256.0,Intel,,,,,,,42.3,15990000.0
laptop88,,,LG,16.0,16.0,LPDDR5,0.0,512.0,Intel,6.0,6.0,93.2,93.0,95.0,77.0,139.0,29690000.0
thinkpro,57.5,2.2,Acer,15.6,8.0,DDR4,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.0,22890000.0
thinkpro,54.0,1.57,Dell,14.0,16.0,DDR4,0.0,512.0,Intel,10.0,12.0,65.2,65.0,75.0,59.0,30.1,33990000.0
laptop88,54.0,1.0,Dell,16.0,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,0.0,0.0,0.0,0.0,121.0,17990000.0
thinkpro,71.0,1.99,Lenovo,16.0,16.0,,0.0,512.0,AMD,6.0,12.0,73.0,73.0,76.0,67.0,89.0,31990000.0
laptop88,,,MSI,15.6,8.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,88.6,23990000.0
thinkpro,32.0,,Lenovo,11.6,4.0,DDR4,0.0,256.0,Intel,4.0,4.0,0.0,0.0,0.0,0.0,1.43,10490000.0
laptop88,56.0,2.0,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,8.0,16.0,0.0,0.0,0.0,0.0,58.5,22390000.0
thinkpro,51.5,0.891,Microsoft,13.0,8.0,LPDDR4x,0.0,128.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,26990000.0
thinkpro,42.0,,Asus,14.0,8.0,DDR4,0.0,256.0,Intel,2.0,4.0,0.0,0.0,0.0,0.0,112.0,15390000.0
thinkpro,43.0,1.41,HP,14.0,4.0,DDR4,0.0,256.0,Intel,6.0,8.0,68.5,68.0,78.0,59.0,112.0,13990000.0
thinkpro,49.9,1.29,Apple,13.3,8.0,,0.0,256.0,Apple,8.0,8.0,0.0,0.0,0.0,0.0,,22990000.0
thinkpro,56.0,2.1,Asus,15.6,8.0,,0.0,512.0,AMD,8.0,16.0,45.4,45.0,46.0,39.0,42.9,23490000.0
thinkpro,90.0,2.7,Asus,17.3,16.0,DDR4,0.0,1024.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,121.0,38990000.0
thinkpro,54.0,2.25,MSI,15.6,16.0,DDR4,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,112.0,37990000.0
thinkpro,42.0,1.46,HP,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,53.4,53.0,59.0,42.0,112.0,9990000.0
thinkpro,45.0,1.59,Lenovo,14.0,8.0,DDR4,0.0,512.0,Intel,12.0,16.0,72.4,72.0,78.0,70.0,139.0,19990000.0
thinkpro,65.0,2.1,Razer,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,76.2,49990000.0
thinkpro,90.0,2.48,Asus,15.6,32.0,DDR4,0.0,1024.0,AMD,8.0,16.0,78.2,78.0,81.0,76.0,121.0,74990000.0
thinkpro,59.0,1.37,Lenovo,13.3,16.0,,0.0,512.0,AMD,8.0,16.0,72.3,72.0,74.0,69.0,121.0,21490000.0
thinkpro,,,Apple,16.0,16.0,,0.0,512.0,Apple,10.0,,0.0,0.0,0.0,0.0,,54990000.0
laptop88,60.0,2.0,Lenovo,15.6,16.0,DDR5,0.0,512.0,AMD,14.0,20.0,98.1,98.0,100.0,104.0,58.5,27690000.0
thinkpro,70.0,2.45,HP,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,76.2,29990000.0
thinkpro,80.0,2.3,Lenovo,16.0,16.0,,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,53.7,31990000.0
thinkpro,99.9,2.8,MSI,17.3,32.0,DDR5,0.0,2048.0,Intel,16.0,24.0,100.0,100.0,103.0,106.0,139.0,119990000.0
thinkpro,,,Dell,14.0,,,0.0,512.0,Intel,6.0,12.0,114.0,114.0,114.0,126.0,88.6,69990000.0
thinkpro,65.0,1.8,Asus,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,52.0,19490000.0
laptop88,,,HP,14.0,4.0,DDR4,0.0,128.0,AMD,,,,,,,121.0,7390000.0
thinkpro,58.2,1.4,Apple,13.3,8.0,,0.0,256.0,Apple,8.0,,0.0,0.0,0.0,0.0,,34990000.0
thinkpro,42.0,,Asus,15.6,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,69.5,69.0,71.0,63.0,121.0,18790000.0
thinkpro,70.0,,HP,16.0,8.0,DDR4,0.0,256.0,Intel,6.0,12.0,74.5,74.0,78.0,69.0,58.5,21990000.0
laptop88,,1.0,HP,15.6,8.0,DDR4,0.0,256.0,Intel,,,,,,,11.9,12490000.0
laptop88,60.0,,Lenovo,15.6,16.0,DDR4,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,58.5,24990000.0
thinkpro,39.0,1.6,MSI,15.6,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,69.7,70.0,78.0,57.0,,14690000.0
thinkpro,41.0,1.69,HP,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,16590000.0
thinkpro,97.0,2.57,Dell,17.0,32.0,,0.0,1024.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,53.7,45390000.0
thinkpro,86.0,2.56,Dell,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,76.8,77.0,80.0,67.0,76.2,41990000.0
thinkpro,41.0,1.7,Dell,15.6,4.0,DDR4,0.0,256.0,Intel,2.0,4.0,49.6,50.0,61.0,38.0,112.0,15990000.0
thinkpro,41.0,1.69,HP,15.6,8.0,DDR4,0.0,256.0,Intel,10.0,12.0,63.6,64.0,72.0,59.0,139.0,16890000.0
thinkpro,53.5,,MSI,15.6,8.0,DDR4,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,58.5,28990000.0
thinkpro,42.0,1.64,Dell,14.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,15.0,15790000.0
thinkpro,80.0,1.35,LG,17.0,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,42990000.0
thinkpro,41.0,1.69,HP,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,139.0,15590000.0
thinkpro,51.0,1.3,Dell,13.0,16.0,,0.0,512.0,Intel,4.0,8.0,60.9,61.0,69.0,51.0,139.0,27790000.0
thinkpro,80.0,2.45,Lenovo,16.0,16.0,DDR4,0.0,1024.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,121.0,48990000.0
laptop88,63.0,1.0,Asus,14.0,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,139.0,31690000.0
laptop88,,2.0,Lenovo,15.6,16.0,DDR4,0.0,512.0,Intel,14.0,20.0,98.1,98.0,100.0,104.0,,27690000.0
thinkpro,76.0,1.75,Asus,14.5,32.0,LPDDR5,0.0,1024.0,Intel,14.0,20.0,100.0,100.0,103.0,106.0,139.0,65990000.0
thinkpro,68.0,2.1,Dell,15.0,64.0,,0.0,4096.0,Intel,14.0,20.0,101.0,101.0,104.0,106.0,70.0,69990000.0
