,battery,weight,monitor_size,ram_capacity,SSD_capacity,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,unknown_gpu,website_thinkpro,laptop_brand_Asus,laptop_brand_Dell,laptop_brand_Lenovo,laptop_brand_Other,laptop_brand_Razer,price
182,0.6122448979591836,0.558303886925795,0.6792452830188678,0.2,0.09996095275283093,0.8571428571428572,0.8181818181818182,0.8350622406639003,0.8333333333333333,0.851063829787234,0.8070175438596491,0.6241962996982025,1.0,0.0,0.0,0.0,1.0,0.0,0.0,27690000.0
183,0.7551020408163265,0.4478798586572438,0.47169811320754684,0.4666666666666667,0.19992190550566186,0.8571428571428572,0.8181818181818182,0.854771784232365,0.8541666666666665,0.8829787234042553,0.8245614035087719,0.9015877181472249,0.0,1.0,1.0,0.0,0.0,0.0,0.0,65990000.0
184,0.673469387755102,0.6024734982332156,0.5660377358490565,1.0,0.7996876220226474,0.8571428571428572,0.8181818181818182,0.8651452282157677,0.8645833333333333,0.8936170212765958,0.8245614035087719,0.44889122162445877,0.0,1.0,0.0,1.0,0.0,0.0,0.0,69990000.0
185,0.39795918367346933,0.4478798586572438,0.6792452830188678,0.06666666666666667,0.09996095275283093,0.14285714285714285,0.2727272727272727,0.4730290456431535,0.46875,0.5425531914893618,0.3508771929824561,0.9015877181472249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15790000.0
186,0.43367346938775503,0.28886925795053,0.37735849056603765,0.06666666666666667,0.049980476376415464,0.14285714285714285,0.2727272727272727,0.3475103734439834,0.34375,0.3936170212765957,0.2543859649122807,0.022438000262432756,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9990000.0
187,0.4897959183673469,0.1166077738515901,0.37735849056603765,0.06666666666666667,0.049980476376415464,0.2285714285714286,0.2545454545454545,0.4354771784232364,0.4312499999999999,0.5127659574468085,0.32807017543859646,0.7244456108122295,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14090000.0
188,0.5612244897959183,0.4081272084805653,0.5660377358490565,0.06666666666666667,0.09996095275283093,0.14285714285714285,0.2727272727272727,0.3475103734439834,0.34375,0.3936170212765957,0.2543859649122807,0.022438000262432756,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12990000.0
189,0.3775510204081632,0.1651943462897527,0.0,0.06666666666666667,0.024990238188207732,0.14285714285714285,0.2727272727272727,0.3475103734439834,0.34375,0.3936170212765957,0.2543859649122807,0.022438000262432756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12990000.0
190,0.4999999999999999,0.19169611307420487,0.26415094339622636,0.06666666666666667,0.09996095275283093,0.5714285714285714,0.4545454545454545,0.4771784232365145,0.47916666666666663,0.5531914893617021,0.4122807017543859,0.9015877181472249,0.0,1.0,0.0,1.0,0.0,0.0,0.0,27390000.0
191,0.5306122448979591,0.29328621908127206,0.37735849056603765,0.06666666666666667,0.09996095275283093,0.42857142857142855,0.6363636363636364,0.567427385892116,0.5625,0.574468085106383,0.5,0.7834929799238947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18990000.0
192,0.8918163265306122,0.7022968197879859,0.7547169811320753,0.4666666666666667,0.19992190550566186,0.8571428571428572,0.8181818181818182,0.854771784232365,0.8541666666666665,0.8829787234042553,0.8245614035087719,0.5709224511219001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74990000.0
193,0.8979591836734693,0.9558303886925793,1.0,0.06666666666666667,0.09996095275283093,0.42857142857142855,0.6363636363636364,0.6431535269709543,0.6458333333333333,0.6702127659574468,0.5789473684210525,0.7834929799238947,0.0,1.0,1.0,0.0,0.0,0.0,0.0,61990000.0
194,0.6018367346938774,0.3189045936395759,0.7547169811320753,0.06666666666666667,0.049980476376415464,0.7142857142857142,0.6363636363636364,0.5684647302904564,0.5625,0.6170212765957447,0.5087719298245613,0.7244456108122295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17990000.0
195,0.8163265306122448,0.8895759717314488,1.0,0.4666666666666667,0.19992190550566186,0.8571428571428572,0.8181818181818182,0.854771784232365,0.8541666666666665,0.8829787234042553,0.8245614035087719,0.9015877181472249,0.0,1.0,0.0,0.0,0.0,0.0,1.0,129990000.0
196,0.39795918367346933,0.4213780918727915,0.6792452830188678,0.13333333333333336,0.049980476376415464,0.14285714285714285,0.2727272727272727,0.44190871369294604,0.4375,0.5,0.3333333333333333,0.5709224511219001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19790000.0
197,0.8979591836734693,0.1166077738515901,0.6792452830188678,0.4666666666666667,0.19992190550566186,0.6000000000000001,0.7090909090909091,0.7533195020746887,0.7520833333333333,0.7680851063829788,0.6912280701754385,0.7834929799238947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57990000.0
198,0.4693877551020408,0.558303886925795,0.6792452830188678,0.06666666666666667,0.09996095275283093,0.14285714285714285,0.2727272727272727,0.5414937759336099,0.5416666666666666,0.574468085106383,0.39473684210526316,0.27109303241044486,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16990000.0
199,0.4693877551020408,0.6466431095406361,0.6792452830188678,0.2,0.09996095275283093,0.42857142857142855,0.4545454545454545,0.5902489626556016,0.5833333333333333,0.6170212765957447,0.5,0.3734418055373311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19699000.0
200,0.4204081632653061,0.558303886925795,1.0,0.06666666666666667,0.049980476376415464,0.14285714285714285,0.2727272727272727,0.3493775933609957,0.34791666666666665,0.4042553191489362,0.2543859649122807,0.9015877181472249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11990000.0
201,0.7102040816326529,0.558303886925795,1.0,0.2,0.09996095275283093,0.3714285714285714,0.38181818181818183,0.5981327800829875,0.59375,0.6382978723404256,0.49298245614035086,0.5709224511219001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38990000.0
202,0.41428571428571426,0.1166077738515901,0.6792452830188678,0.06666666666666667,0.09996095275283093,0.2571428571428571,0.4181818181818181,0.5311203319502074,0.525,0.5531914893617021,0.4368421052631578,0.04855005904736912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15490000.0
203,0.5663265306122448,0.6466431095406361,0.6792452830188678,0.06666666666666667,0.09996095275283093,0.42857142857142855,0.6363636363636364,0.729253112033195,0.7291666666666666,0.7446808510638298,0.6491228070175438,0.3734418055373311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22390000.0
